Dish Name,Ingredients,Cluster,Cluster_Label
pho,"lime, broth, basil, chili, beef",3,Baked Dishes
shawarma,"chicken, yogurt, pita, garlic, cumin",2,Curries & Stews
bbq ribs,"pork, brown sugar, garlic, spices, bbq sauce",2,Curries & Stews
butter chicken,"chicken, onions, curry powder, coconut milk, spice",2,Curries & Stews
cereal,"honey, oats, milk, fruit",0,Salads & Wraps
pad thai,"rice noodles, egg, peanut, lime, shrimp",3,Baked Dishes
caesar salad,"caesar dressing, lettuce, parmesan, chicken, crouton",6,Grilled & Roasted
dim sum,"shrimp, ginger, pork, soy sauce, dumpling wrapper",4,Asian & Stir Fry
bbq ribs,"spices, pork, garlic, brown sugar, bbq sauce",2,Curries & Stews
cereal,"honey, milk, nuts, oats, fruit",0,Salads & Wraps
clam chowder,"cream, clam, onion, celery",1,Desserts & Pastries
greek salad,"olives, tomato, lettuce, dressing",6,Grilled & Roasted
butter chicken,"spices, coconut milk, curry powder, chicken, onion",2,Curries & Stews
pad thai,"peanut, lime, egg, shrimp, rice noodle",3,Baked Dishes
pasta carbonara,"tomato sauce, olive oil, basil, cheese, pasta",1,Desserts & Pastries
pho,"rice noodles, basil, lime, chili, beef",3,Baked Dishes
butter chicken,"onions, coconut milk, chicken, curry powder, spice",2,Curries & Stews
grilled chicken,"seasoning, tomato, garlic, lettuce",6,Grilled & Roasted
butter chicken,"chicken, onions, coconut milk, curry powder",2,Curries & Stews
greek salad,"olives, dressing, lettuce, feta cheese, cucumber, tomato",6,Grilled & Roasted
clam chowder,"celery, cream, onion, potato, clam",1,Desserts & Pastries
spring rolls,"shrimp, carrots, cabbage, peanut sauce",3,Baked Dishes
shawarma,"yogurt, garlic, cumin, pita, chicken",2,Curries & Stews
grilled chicken,"lettuce, seasoning, tomato, garlic, chicken",6,Grilled & Roasted
tacos,"salsa, lettuce, beef, cheese, tortilla",6,Grilled & Roasted
turkey sandwich,"mayonnaise, cheese, bread, tomato, lettuce",6,Grilled & Roasted
dim sum,"pork, soy sauce, ginger, shrimp",4,Asian & Stir Fry
clam chowder,"celery, cream, clam, potato, onion",1,Desserts & Pastries
omelette,"onions, butter, salt, cheese",5,Breakfast & Brunch
omelette,"pepper, salt, butter, cheese, eggs, onion",5,Breakfast & Brunch
chicken biryani,"yogurt, rice, saffron, spices, cardamom",2,Curries & Stews
dim sum,"soy sauce, pork, dumpling wrapper, shrimp",4,Asian & Stir Fry
pad thai,"lime, peanut, egg, shrimp, rice noodle",3,Baked Dishes
caesar salad,"caesar dressing, croutons, chicken, lettuce",6,Grilled & Roasted
grilled chicken,"seasoning, tomato, lettuce, garlic",6,Grilled & Roasted
spanish paella,"peppers, onions, saffron, rice",2,Curries & Stews
pho,"beef, lime, basil, chili",3,Baked Dishes
lasagna,"ground beef, garlic, tomato sauce, cheese",1,Desserts & Pastries
bbq ribs,"bbq sauce, pork, garlic, spices, brown sugar",2,Curries & Stews
pad thai,"rice noodles, shrimp, lime, peanut",3,Baked Dishes
omelette,"salt, eggs, pepper, cheese",5,Breakfast & Brunch
grilled chicken,"seasoning, lettuce, garlic, chicken",6,Grilled & Roasted
lasagna,"cheese, ground beef, onion, pasta, tomato sauce",1,Desserts & Pastries
omelette,"cheese, pepper, butter, salt, egg",5,Breakfast & Brunch
clam chowder,"clam, cream, celery, potato, onion",1,Desserts & Pastries
clam chowder,"onion, celery, clam, potato, cream",1,Desserts & Pastries
beef steak,"pepper, beef, garlic, salt, butter",5,Breakfast & Brunch
caesar salad,"caesar dressing, chicken, parmesan, lettuce, crouton",6,Grilled & Roasted
grilled chicken,"seasoning, tomato, lettuce, garlic, chicken",6,Grilled & Roasted
spring rolls,"carrots, cabbage, rice paper, shrimp, peanut sauce",3,Baked Dishes
lasagna,"onion, tomato sauce, garlic, ground beef, pasta, cheese",1,Desserts & Pastries
japanese ramen,"egg, pork, ginger, scallions, noodles, broth",4,Asian & Stir Fry
bbq ribs,"brown sugar, bbq sauce, spices, pork, garlic",2,Curries & Stews
pancakes,"flour, vanilla, eggs, sugar, butter, milk",0,Salads & Wraps
spring rolls,"shrimp, peanut sauce, carrots, cabbage",3,Baked Dishes
tacos,"cheese, lettuce, tortilla, salsa, beef",6,Grilled & Roasted
tacos,"tortilla, cheese, salsa, lettuce",6,Grilled & Roasted
lasagna,"garlic, tomato sauce, pasta, onion, ground beef, cheese",1,Desserts & Pastries
shawarma,"garlic, cumin, pita, chicken",2,Curries & Stews
turkey sandwich,"tomato, turkey, mayonnaise, lettuce, cheese",6,Grilled & Roasted
lasagna,"cheese, pasta, garlic, ground beef",1,Desserts & Pastries
pad thai,"peanut, egg, rice noodles, shrimp",3,Baked Dishes
bbq ribs,"garlic, bbq sauce, pork, spices, brown sugar",2,Curries & Stews
sushi,"rice, salmon, soy sauce, avocado",2,Curries & Stews
pasta carbonara,"basil, cheese, tomato sauce, olive oil",1,Desserts & Pastries
omelette,"cheese, onions, butter, eggs, pepper, salt",5,Breakfast & Brunch
greek salad,"cucumber, tomato, olives, lettuce, feta cheese",6,Grilled & Roasted
greek salad,"lettuce, tomato, feta cheese, dressing, cucumber",6,Grilled & Roasted
pho,"rice noodles, broth, beef, basil, lime, chili",3,Baked Dishes
butter chicken,"onions, chicken, coconut milk, spice",2,Curries & Stews
omelette,"pepper, butter, eggs, cheese, onion",5,Breakfast & Brunch
shawarma,"garlic, chicken, pita, cumin, yogurt",2,Curries & Stews
clam chowder,"cream, onion, celery, clam, potato",1,Desserts & Pastries
bbq ribs,"brown sugar, spices, garlic, bbq sauce, pork",2,Curries & Stews
spring rolls,"peanut sauce, cabbage, shrimp, rice paper",3,Baked Dishes
pancakes,"eggs, flour, sugar, butter",0,Salads & Wraps
butter chicken,"coconut milk, chicken, curry powder, spices, onion",2,Curries & Stews
greek salad,"tomato, cucumber, dressing, olive",6,Grilled & Roasted
pho,"chili, lime, broth, rice noodle",3,Baked Dishes
turkey sandwich,"tomato, turkey, mayonnaise, bread",6,Grilled & Roasted
lasagna,"pasta, garlic, onion, tomato sauce, ground beef",1,Desserts & Pastries
spring rolls,"peanut sauce, shrimp, cabbage, rice paper, carrot",3,Baked Dishes
omelette,"onions, eggs, pepper, salt, butter",5,Breakfast & Brunch
shawarma,"cumin, garlic, pita, chicken, yogurt",2,Curries & Stews
lasagna,"onion, pasta, tomato sauce, garlic",1,Desserts & Pastries
shawarma,"cumin, chicken, yogurt, pita, garlic",2,Curries & Stews
spring rolls,"carrots, cabbage, peanut sauce, shrimp, rice paper",3,Baked Dishes
caesar salad,"chicken, caesar dressing, lettuce, parmesan",6,Grilled & Roasted
pasta carbonara,"olive oil, basil, tomato sauce, cheese, pasta",1,Desserts & Pastries
caesar salad,"chicken, parmesan, croutons, caesar dressing, lettuce",6,Grilled & Roasted
clam chowder,"onion, cream, clam, celery, potato",1,Desserts & Pastries
cereal,"nuts, fruits, honey, oats, milk",0,Salads & Wraps
spring rolls,"cabbage, carrots, peanut sauce, rice paper, shrimp",3,Baked Dishes
beef steak,"salt, butter, pepper, garlic, beef",5,Breakfast & Brunch
tacos,"tortilla, cheese, lettuce, beef, salsa",6,Grilled & Roasted
shawarma,"cumin, pita, garlic, chicken, yogurt",2,Curries & Stews
sushi,"seaweed, rice, soy sauce, avocado, salmon",2,Curries & Stews
chicken biryani,"spices, yogurt, chicken, rice",2,Curries & Stews
japanese ramen,"broth, scallions, pork, ginger, noodles, egg",4,Asian & Stir Fry
butter chicken,"spices, coconut milk, chicken, onion",2,Curries & Stews
grilled chicken,"tomato, seasoning, garlic, lettuce",6,Grilled & Roasted
pho,"chili, lime, basil, beef, broth, rice noodle",3,Baked Dishes
grilled chicken,"tomato, seasoning, lettuce, chicken, garlic",6,Grilled & Roasted
pancakes,"sugar, butter, flour, milk, egg",0,Salads & Wraps
greek salad,"feta cheese, lettuce, dressing, cucumber",6,Grilled & Roasted
lasagna,"tomato sauce, cheese, ground beef, garlic, pasta, onion",1,Desserts & Pastries
beef steak,"butter, garlic, salt, pepper",5,Breakfast & Brunch
pad thai,"egg, peanut, lime, rice noodle",3,Baked Dishes
japanese ramen,"noodles, ginger, egg, broth, scallions, pork",4,Asian & Stir Fry
bbq ribs,"bbq sauce, garlic, brown sugar, pork, spice",2,Curries & Stews
pho,"lime, rice noodles, broth, beef",3,Baked Dishes
tacos,"tortilla, lettuce, beef, salsa",6,Grilled & Roasted
beef steak,"beef, butter, garlic, pepper, salt",5,Breakfast & Brunch
dim sum,"dumpling wrapper, shrimp, pork, ginger",4,Asian & Stir Fry
lasagna,"tomato sauce, garlic, pasta, onion, cheese",1,Desserts & Pastries
butter chicken,"coconut milk, chicken, spices, curry powder, onion",2,Curries & Stews
shawarma,"garlic, yogurt, cumin, pita",2,Curries & Stews
turkey sandwich,"turkey, lettuce, mayonnaise, cheese, tomato, bread",6,Grilled & Roasted
dim sum,"dumpling wrapper, ginger, shrimp, soy sauce",4,Asian & Stir Fry
pancakes,"flour, sugar, vanilla, butter, milk",0,Salads & Wraps
shawarma,"garlic, pita, yogurt, cumin, chicken",2,Curries & Stews
grilled chicken,"seasoning, lettuce, chicken, tomato, garlic",6,Grilled & Roasted
clam chowder,"celery, potato, clam, onion, cream",1,Desserts & Pastries
lasagna,"ground beef, tomato sauce, cheese, pasta, onion, garlic",1,Desserts & Pastries
turkey sandwich,"lettuce, tomato, turkey, bread, cheese",6,Grilled & Roasted
pad thai,"egg, lime, shrimp, rice noodle",3,Baked Dishes
dim sum,"soy sauce, ginger, pork, shrimp",4,Asian & Stir Fry
tacos,"beef, tortilla, salsa, cheese, lettuce",6,Grilled & Roasted
clam chowder,"potato, onion, celery, cream",1,Desserts & Pastries
cereal,"fruits, milk, honey, nut",0,Salads & Wraps
caesar salad,"lettuce, parmesan, chicken, crouton",6,Grilled & Roasted
omelette,"eggs, onions, pepper, cheese, salt, butter",5,Breakfast & Brunch
dim sum,"dumpling wrapper, shrimp, ginger, soy sauce, pork",4,Asian & Stir Fry
turkey sandwich,"tomato, cheese, bread, lettuce",6,Grilled & Roasted
spring rolls,"cabbage, rice paper, peanut sauce, shrimp",3,Baked Dishes
pasta carbonara,"basil, cheese, pasta, tomato sauce",1,Desserts & Pastries
grilled chicken,"lettuce, chicken, seasoning, tomato",6,Grilled & Roasted
grilled chicken,"chicken, seasoning, garlic, tomato",6,Grilled & Roasted
pasta carbonara,"olive oil, tomato sauce, pasta, cheese, basil",1,Desserts & Pastries
lasagna,"ground beef, tomato sauce, cheese, onion",1,Desserts & Pastries
chicken biryani,"cardamom, saffron, chicken, spice",2,Curries & Stews
caesar salad,"parmesan, chicken, lettuce, caesar dressing, crouton",6,Grilled & Roasted
greek salad,"tomato, dressing, lettuce, feta cheese, olives, cucumber",6,Grilled & Roasted
pancakes,"sugar, butter, vanilla, flour",0,Salads & Wraps
tacos,"lettuce, beef, tortilla, salsa, cheese",6,Grilled & Roasted
greek salad,"olives, tomato, feta cheese, cucumber, dressing",6,Grilled & Roasted
pad thai,"egg, peanut, lime, shrimp, rice noodle",3,Baked Dishes
beef steak,"beef, salt, butter, garlic",5,Breakfast & Brunch
beef steak,"garlic, beef, pepper, salt, butter",5,Breakfast & Brunch
greek salad,"feta cheese, olives, lettuce, tomato",6,Grilled & Roasted
tacos,"salsa, tortilla, cheese, lettuce",6,Grilled & Roasted
spring rolls,"cabbage, carrots, rice paper, peanut sauce",3,Baked Dishes
spring rolls,"peanut sauce, shrimp, carrots, rice paper",3,Baked Dishes
caesar salad,"croutons, caesar dressing, chicken, parmesan",6,Grilled & Roasted
dim sum,"dumpling wrapper, shrimp, pork, soy sauce, ginger",4,Asian & Stir Fry
omelette,"salt, onions, butter, pepper, eggs, cheese",5,Breakfast & Brunch
pancakes,"milk, butter, vanilla, egg",0,Salads & Wraps
tacos,"lettuce, tortilla, cheese, beef, salsa",6,Grilled & Roasted
pancakes,"flour, vanilla, eggs, milk",0,Salads & Wraps
grilled chicken,"garlic, lettuce, chicken, tomato, seasoning",6,Grilled & Roasted
butter chicken,"coconut milk, curry powder, onions, spice",2,Curries & Stews
cereal,"nuts, honey, oats, fruits, milk",0,Salads & Wraps
spanish paella,"saffron, seafood, peppers, rice",2,Curries & Stews
turkey sandwich,"mayonnaise, tomato, bread, lettuce",6,Grilled & Roasted
pasta carbonara,"basil, tomato sauce, cheese, pasta",1,Desserts & Pastries
cereal,"nuts, fruits, oats, honey, milk",0,Salads & Wraps
sushi,"avocado, seaweed, salmon, rice",2,Curries & Stews
greek salad,"feta cheese, dressing, cucumber, olives, tomato",6,Grilled & Roasted
lasagna,"cheese, onion, pasta, ground beef",1,Desserts & Pastries
clam chowder,"celery, clam, potato, onion",1,Desserts & Pastries
turkey sandwich,"turkey, bread, mayonnaise, cheese",6,Grilled & Roasted
pho,"rice noodles, lime, beef, chili",3,Baked Dishes
cereal,"oats, nuts, fruits, milk, honey",0,Salads & Wraps
pancakes,"sugar, eggs, flour, butter, milk, vanilla",0,Salads & Wraps
pad thai,"rice noodles, egg, shrimp, peanut, lime",3,Baked Dishes
turkey sandwich,"tomato, bread, cheese, turkey",6,Grilled & Roasted
shawarma,"chicken, cumin, pita, yogurt, garlic",2,Curries & Stews
clam chowder,"onion, potato, celery, clam",1,Desserts & Pastries
pasta carbonara,"basil, cheese, pasta, olive oil, tomato sauce",1,Desserts & Pastries
caesar salad,"parmesan, chicken, caesar dressing, crouton",6,Grilled & Roasted
turkey sandwich,"cheese, turkey, lettuce, mayonnaise",6,Grilled & Roasted
spring rolls,"peanut sauce, shrimp, cabbage, carrots, rice paper",3,Baked Dishes
beef steak,"butter, pepper, garlic, salt, beef",5,Breakfast & Brunch
japanese ramen,"egg, noodles, pork, scallion",4,Asian & Stir Fry
pho,"lime, beef, chili, basil, rice noodle",3,Baked Dishes
butter chicken,"spices, chicken, coconut milk, curry powder, onion",2,Curries & Stews
butter chicken,"spices, onions, chicken, curry powder, coconut milk",2,Curries & Stews
sushi,"rice, salmon, avocado, seaweed, soy sauce",2,Curries & Stews
sushi,"salmon, rice, avocado, seaweed, soy sauce",2,Curries & Stews
shawarma,"garlic, cumin, yogurt, chicken, pita",2,Curries & Stews
dim sum,"dumpling wrapper, pork, shrimp, soy sauce, ginger",4,Asian & Stir Fry
tacos,"cheese, tortilla, beef, lettuce, salsa",6,Grilled & Roasted
butter chicken,"chicken, spices, onions, coconut milk, curry powder",2,Curries & Stews
chicken biryani,"rice, spices, yogurt, cardamom",2,Curries & Stews
dim sum,"shrimp, ginger, dumpling wrapper, soy sauce, pork",4,Asian & Stir Fry
caesar salad,"chicken, caesar dressing, croutons, parmesan, lettuce",6,Grilled & Roasted
pho,"basil, lime, chili, broth, rice noodle",3,Baked Dishes
pho,"rice noodles, beef, lime, broth, basil",3,Baked Dishes
pasta carbonara,"cheese, olive oil, basil, tomato sauce",1,Desserts & Pastries
pasta carbonara,"olive oil, tomato sauce, basil, pasta, cheese",1,Desserts & Pastries
pancakes,"milk, sugar, vanilla, butter",0,Salads & Wraps
turkey sandwich,"mayonnaise, bread, lettuce, turkey",6,Grilled & Roasted
japanese ramen,"broth, egg, ginger, pork",4,Asian & Stir Fry
greek salad,"tomato, olives, dressing, feta cheese, lettuce",6,Grilled & Roasted
omelette,"butter, cheese, salt, eggs, onions, pepper",5,Breakfast & Brunch
bbq ribs,"bbq sauce, pork, brown sugar, spices, garlic",2,Curries & Stews
beef steak,"garlic, pepper, salt, beef",5,Breakfast & Brunch
cereal,"oats, nuts, fruits, honey",0,Salads & Wraps
turkey sandwich,"cheese, tomato, bread, mayonnaise, lettuce, turkey",6,Grilled & Roasted
greek salad,"cucumber, tomato, lettuce, dressing, feta cheese",6,Grilled & Roasted
grilled chicken,"lettuce, seasoning, chicken, garlic",6,Grilled & Roasted
tacos,"cheese, beef, tortilla, salsa, lettuce",6,Grilled & Roasted
butter chicken,"onions, coconut milk, curry powder, spices, chicken",2,Curries & Stews
cereal,"oats, fruits, honey, milk",0,Salads & Wraps
pad thai,"peanut, shrimp, lime, egg, rice noodle",3,Baked Dishes
spanish paella,"seafood, onions, saffron, rice, pepper",2,Curries & Stews
greek salad,"tomato, lettuce, olives, dressing, cucumber, feta cheese",6,Grilled & Roasted
tacos,"salsa, tortilla, lettuce, beef, cheese",6,Grilled & Roasted
lasagna,"onion, ground beef, cheese, pasta, garlic, tomato sauce",1,Desserts & Pastries
turkey sandwich,"tomato, mayonnaise, cheese, bread, turkey, lettuce",6,Grilled & Roasted
lasagna,"cheese, tomato sauce, pasta, ground beef",1,Desserts & Pastries
chicken biryani,"cardamom, chicken, spices, saffron",2,Curries & Stews
lasagna,"tomato sauce, ground beef, onion, pasta, cheese, garlic",1,Desserts & Pastries
bbq ribs,"garlic, pork, brown sugar, spice",2,Curries & Stews
caesar salad,"croutons, chicken, lettuce, caesar dressing, parmesan",6,Grilled & Roasted
pasta carbonara,"olive oil, basil, cheese, pasta",1,Desserts & Pastries
caesar salad,"caesar dressing, parmesan, lettuce, croutons, chicken",6,Grilled & Roasted
omelette,"cheese, onions, eggs, salt",5,Breakfast & Brunch
dim sum,"dumpling wrapper, shrimp, soy sauce, pork",4,Asian & Stir Fry
pho,"beef, rice noodles, broth, lime",3,Baked Dishes
caesar salad,"parmesan, caesar dressing, lettuce, chicken, crouton",6,Grilled & Roasted
tacos,"beef, cheese, tortilla, salsa, lettuce",6,Grilled & Roasted
shawarma,"garlic, yogurt, pita, chicken, cumin",2,Curries & Stews
clam chowder,"potato, clam, cream, celery, onion",1,Desserts & Pastries
pasta carbonara,"pasta, tomato sauce, basil, olive oil, cheese",1,Desserts & Pastries
grilled chicken,"lettuce, tomato, chicken, seasoning, garlic",6,Grilled & Roasted
cereal,"fruits, honey, nuts, milk, oat",0,Salads & Wraps
pancakes,"eggs, butter, sugar, vanilla",0,Salads & Wraps
japanese ramen,"noodles, broth, pork, egg, ginger",4,Asian & Stir Fry
greek salad,"lettuce, cucumber, feta cheese, dressing",6,Grilled & Roasted
spring rolls,"shrimp, peanut sauce, carrots, cabbage, rice paper",3,Baked Dishes
shawarma,"garlic, chicken, pita, yogurt, cumin",2,Curries & Stews
chicken biryani,"saffron, yogurt, cardamom, chicken, rice, spice",2,Curries & Stews
pho,"lime, beef, rice noodles, basil, chili",3,Baked Dishes
pad thai,"egg, shrimp, peanut, rice noodle",3,Baked Dishes
pho,"beef, broth, chili, rice noodles, basil, lime",3,Baked Dishes
pad thai,"peanut, rice noodles, egg, shrimp",3,Baked Dishes
pancakes,"sugar, flour, butter, vanilla, milk, egg",0,Salads & Wraps
turkey sandwich,"mayonnaise, tomato, cheese, bread, lettuce, turkey",6,Grilled & Roasted
grilled chicken,"garlic, tomato, chicken, seasoning, lettuce",6,Grilled & Roasted
greek salad,"dressing, olives, feta cheese, cucumber, tomato, lettuce",6,Grilled & Roasted
pasta carbonara,"basil, tomato sauce, olive oil, cheese, pasta",1,Desserts & Pastries
cereal,"milk, nuts, honey, oat",0,Salads & Wraps
omelette,"butter, pepper, cheese, onions, egg",5,Breakfast & Brunch
clam chowder,"cream, onion, clam, celery, potato",1,Desserts & Pastries
beef steak,"salt, pepper, butter, garlic, beef",5,Breakfast & Brunch
pasta carbonara,"cheese, pasta, tomato sauce, olive oil, basil",1,Desserts & Pastries
sushi,"salmon, soy sauce, rice, seaweed",2,Curries & Stews
cereal,"honey, milk, fruits, oat",0,Salads & Wraps
spanish paella,"onions, rice, peppers, seafood, saffron",2,Curries & Stews
omelette,"salt, cheese, onions, eggs, butter, pepper",5,Breakfast & Brunch
caesar salad,"chicken, lettuce, parmesan, crouton",6,Grilled & Roasted
turkey sandwich,"turkey, cheese, tomato, lettuce",6,Grilled & Roasted
chicken biryani,"chicken, spices, rice, cardamom",2,Curries & Stews
sushi,"soy sauce, salmon, seaweed, rice, avocado",2,Curries & Stews
sushi,"avocado, rice, seaweed, salmon, soy sauce",2,Curries & Stews
beef steak,"butter, salt, pepper, garlic",5,Breakfast & Brunch
dim sum,"shrimp, pork, ginger, soy sauce, dumpling wrapper",4,Asian & Stir Fry
