Dish Name,Ingredients
Pho,"lime, broth, basil, chili, beef"
Shawarma,"chicken, yogurt, pita, garlic, cumin"
BBQ Ribs,"pork, brown sugar, garlic, spices, BBQ sauce"
Butter Chicken,"chicken, onions, curry powder, coconut milk, spices"
Cereal,"honey, oats, milk, fruits"
Pad Thai,"rice noodles, egg, peanut, lime, shrimp"
Caesar Salad,"Caesar dressing, lettuce, parmesan, chicken, croutons"
Dim Sum,"shrimp, ginger, pork, soy sauce, dumpling wrapper"
BBQ Ribs,"spices, pork, garlic, brown sugar, BBQ sauce"
Cereal,"honey, milk, nuts, oats, fruits"
Clam Chowder,"cream, clam, onion, celery"
Greek Salad,"olives, tomato, lettuce, dressing"
Butter Chicken,"spices, coconut milk, curry powder, chicken, onions"
Pad Thai,"peanut, lime, egg, shrimp, rice noodles"
Pasta Carbonara,"tomato sauce, olive oil, basil, cheese, pasta"
Pho,"rice noodles, basil, lime, chili, beef"
Butter Chicken,"onions, coconut milk, chicken, curry powder, spices"
Grilled Chicken,"seasoning, tomato, garlic, lettuce"
Butter Chicken,"chicken, onions, coconut milk, curry powder"
Greek Salad,"olives, dressing, lettuce, feta cheese, cucumber, tomato"
Clam Chowder,"celery, cream, onion, potato, clam"
Spring Rolls,"shrimp, carrots, cabbage, peanut sauce"
Shawarma,"yogurt, garlic, cumin, pita, chicken"
Grilled Chicken,"lettuce, seasoning, tomato, garlic, chicken"
Tacos,"salsa, lettuce, beef, cheese, tortilla"
Turkey Sandwich,"mayonnaise, cheese, bread, tomato, lettuce"
Dim Sum,"pork, soy sauce, ginger, shrimp"
Clam Chowder,"celery, cream, clam, potato, onion"
Omelette,"onions, butter, salt, cheese"
Omelette,"pepper, salt, butter, cheese, eggs, onions"
Chicken Biryani,"yogurt, rice, saffron, spices, cardamom"
Dim Sum,"soy sauce, pork, dumpling wrapper, shrimp"
Pad Thai,"lime, peanut, egg, shrimp, rice noodles"
Caesar Salad,"Caesar dressing, croutons, chicken, lettuce"
Grilled Chicken,"seasoning, tomato, lettuce, garlic"
Spanish Paella,"peppers, onions, saffron, rice"
Pho,"beef, lime, basil, chili"
Lasagna,"ground beef, garlic, tomato sauce, cheese"
BBQ Ribs,"BBQ sauce, pork, garlic, spices, brown sugar"
Pad Thai,"rice noodles, shrimp, lime, peanut"
Omelette,"salt, eggs, pepper, cheese"
Grilled Chicken,"seasoning, lettuce, garlic, chicken"
Lasagna,"cheese, ground beef, onion, pasta, tomato sauce"
Omelette,"cheese, pepper, butter, salt, eggs"
Clam Chowder,"clam, cream, celery, potato, onion"
Clam Chowder,"onion, celery, clam, potato, cream"
Beef Steak,"pepper, beef, garlic, salt, butter"
Caesar Salad,"Caesar dressing, chicken, parmesan, lettuce, croutons"
Grilled Chicken,"seasoning, tomato, lettuce, garlic, chicken"
Spring Rolls,"carrots, cabbage, rice paper, shrimp, peanut sauce"
Lasagna,"onion, tomato sauce, garlic, ground beef, pasta, cheese"
Japanese Ramen,"egg, pork, ginger, scallions, noodles, broth"
BBQ Ribs,"brown sugar, BBQ sauce, spices, pork, garlic"
Pancakes,"flour, vanilla, eggs, sugar, butter, milk"
Spring Rolls,"shrimp, peanut sauce, carrots, cabbage"
Tacos,"cheese, lettuce, tortilla, salsa, beef"
Tacos,"tortilla, cheese, salsa, lettuce"
Lasagna,"garlic, tomato sauce, pasta, onion, ground beef, cheese"
Shawarma,"garlic, cumin, pita, chicken"
Turkey Sandwich,"tomato, turkey, mayonnaise, lettuce, cheese"
Lasagna,"cheese, pasta, garlic, ground beef"
Pad Thai,"peanut, egg, rice noodles, shrimp"
BBQ Ribs,"garlic, BBQ sauce, pork, spices, brown sugar"
Sushi,"rice, salmon, soy sauce, avocado"
Pasta Carbonara,"basil, cheese, tomato sauce, olive oil"
Omelette,"cheese, onions, butter, eggs, pepper, salt"
Greek Salad,"cucumber, tomato, olives, lettuce, feta cheese"
Greek Salad,"lettuce, tomato, feta cheese, dressing, cucumber"
Pho,"rice noodles, broth, beef, basil, lime, chili"
Butter Chicken,"onions, chicken, coconut milk, spices"
Omelette,"pepper, butter, eggs, cheese, onions"
Shawarma,"garlic, chicken, pita, cumin, yogurt"
Clam Chowder,"cream, onion, celery, clam, potato"
BBQ Ribs,"brown sugar, spices, garlic, BBQ sauce, pork"
Spring Rolls,"peanut sauce, cabbage, shrimp, rice paper"
Pancakes,"eggs, flour, sugar, butter"
Butter Chicken,"coconut milk, chicken, curry powder, spices, onions"
Greek Salad,"tomato, cucumber, dressing, olives"
Pho,"chili, lime, broth, rice noodles"
Turkey Sandwich,"tomato, turkey, mayonnaise, bread"
Lasagna,"pasta, garlic, onion, tomato sauce, ground beef"
Spring Rolls,"peanut sauce, shrimp, cabbage, rice paper, carrots"
Omelette,"onions, eggs, pepper, salt, butter"
Shawarma,"cumin, garlic, pita, chicken, yogurt"
Lasagna,"onion, pasta, tomato sauce, garlic"
Shawarma,"cumin, chicken, yogurt, pita, garlic"
Spring Rolls,"carrots, cabbage, peanut sauce, shrimp, rice paper"
Caesar Salad,"chicken, Caesar dressing, lettuce, parmesan"
Pasta Carbonara,"olive oil, basil, tomato sauce, cheese, pasta"
Caesar Salad,"chicken, parmesan, croutons, Caesar dressing, lettuce"
Clam Chowder,"onion, cream, clam, celery, potato"
Cereal,"nuts, fruits, honey, oats, milk"
Spring Rolls,"cabbage, carrots, peanut sauce, rice paper, shrimp"
Beef Steak,"salt, butter, pepper, garlic, beef"
Tacos,"tortilla, cheese, lettuce, beef, salsa"
Shawarma,"cumin, pita, garlic, chicken, yogurt"
Sushi,"seaweed, rice, soy sauce, avocado, salmon"
Chicken Biryani,"spices, yogurt, chicken, rice"
Japanese Ramen,"broth, scallions, pork, ginger, noodles, egg"
Butter Chicken,"spices, coconut milk, chicken, onions"
Grilled Chicken,"tomato, seasoning, garlic, lettuce"
Pho,"chili, lime, basil, beef, broth, rice noodles"
Grilled Chicken,"tomato, seasoning, lettuce, chicken, garlic"
Pancakes,"sugar, butter, flour, milk, eggs"
Greek Salad,"feta cheese, lettuce, dressing, cucumber"
Lasagna,"tomato sauce, cheese, ground beef, garlic, pasta, onion"
Beef Steak,"butter, garlic, salt, pepper"
Pad Thai,"egg, peanut, lime, rice noodles"
Japanese Ramen,"noodles, ginger, egg, broth, scallions, pork"
BBQ Ribs,"BBQ sauce, garlic, brown sugar, pork, spices"
Pho,"lime, rice noodles, broth, beef"
Tacos,"tortilla, lettuce, beef, salsa"
Beef Steak,"beef, butter, garlic, pepper, salt"
Dim Sum,"dumpling wrapper, shrimp, pork, ginger"
Lasagna,"tomato sauce, garlic, pasta, onion, cheese"
Butter Chicken,"coconut milk, chicken, spices, curry powder, onions"
Shawarma,"garlic, yogurt, cumin, pita"
Turkey Sandwich,"turkey, lettuce, mayonnaise, cheese, tomato, bread"
Dim Sum,"dumpling wrapper, ginger, shrimp, soy sauce"
Pancakes,"flour, sugar, vanilla, butter, milk"
Shawarma,"garlic, pita, yogurt, cumin, chicken"
Grilled Chicken,"seasoning, lettuce, chicken, tomato, garlic"
Clam Chowder,"celery, potato, clam, onion, cream"
Lasagna,"ground beef, tomato sauce, cheese, pasta, onion, garlic"
Turkey Sandwich,"lettuce, tomato, turkey, bread, cheese"
Pad Thai,"egg, lime, shrimp, rice noodles"
Dim Sum,"soy sauce, ginger, pork, shrimp"
Tacos,"beef, tortilla, salsa, cheese, lettuce"
Clam Chowder,"potato, onion, celery, cream"
Cereal,"fruits, milk, honey, nuts"
Caesar Salad,"lettuce, parmesan, chicken, croutons"
Omelette,"eggs, onions, pepper, cheese, salt, butter"
Dim Sum,"dumpling wrapper, shrimp, ginger, soy sauce, pork"
Turkey Sandwich,"tomato, cheese, bread, lettuce"
Spring Rolls,"cabbage, rice paper, peanut sauce, shrimp"
Pasta Carbonara,"basil, cheese, pasta, tomato sauce"
Grilled Chicken,"lettuce, chicken, seasoning, tomato"
Grilled Chicken,"chicken, seasoning, garlic, tomato"
Pasta Carbonara,"olive oil, tomato sauce, pasta, cheese, basil"
Lasagna,"ground beef, tomato sauce, cheese, onion"
Chicken Biryani,"cardamom, saffron, chicken, spices"
Caesar Salad,"parmesan, chicken, lettuce, Caesar dressing, croutons"
Greek Salad,"tomato, dressing, lettuce, feta cheese, olives, cucumber"
Pancakes,"sugar, butter, vanilla, flour"
Tacos,"lettuce, beef, tortilla, salsa, cheese"
Grilled Chicken,"seasoning, tomato, garlic, lettuce"
Greek Salad,"olives, tomato, feta cheese, cucumber, dressing"
Pad Thai,"egg, peanut, lime, shrimp, rice noodles"
Beef Steak,"beef, salt, butter, garlic"
Beef Steak,"garlic, beef, pepper, salt, butter"
Greek Salad,"feta cheese, olives, lettuce, tomato"
Tacos,"salsa, tortilla, cheese, lettuce"
Spring Rolls,"cabbage, carrots, rice paper, peanut sauce"
Spring Rolls,"peanut sauce, shrimp, carrots, rice paper"
Caesar Salad,"croutons, Caesar dressing, chicken, parmesan"
Dim Sum,"dumpling wrapper, shrimp, pork, soy sauce, ginger"
Omelette,"salt, onions, butter, pepper, eggs, cheese"
Pancakes,"milk, butter, vanilla, eggs"
Tacos,"lettuce, tortilla, cheese, beef, salsa"
Pancakes,"flour, vanilla, eggs, milk"
Grilled Chicken,"garlic, lettuce, chicken, tomato, seasoning"
Butter Chicken,"coconut milk, curry powder, onions, spices"
Cereal,"nuts, honey, oats, fruits, milk"
Spanish Paella,"saffron, seafood, peppers, rice"
Turkey Sandwich,"mayonnaise, tomato, bread, lettuce"
Pasta Carbonara,"basil, tomato sauce, cheese, pasta"
Cereal,"nuts, fruits, oats, honey, milk"
Sushi,"avocado, seaweed, salmon, rice"
Greek Salad,"feta cheese, dressing, cucumber, olives, tomato"
Lasagna,"cheese, onion, pasta, ground beef"
Clam Chowder,"celery, clam, potato, onion"
Turkey Sandwich,"turkey, bread, mayonnaise, cheese"
Pho,"rice noodles, lime, beef, chili"
Cereal,"oats, nuts, fruits, milk, honey"
